"Status","Year","Responsibility_level","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","G6/G7","Communications","50","50","57520","54700"
"Leaver Dept.","2021","G6/G7","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Digital, Data & Technology","90","90","59470","56020"
"Leaver Dept.","2021","G6/G7","Finance","70","70","59540","58130"
"Leaver Dept.","2021","G6/G7","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Human Resources","100","100","57060","56850"
"Leaver Dept.","2021","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Legal","90","80","59020","58010"
"Leaver Dept.","2021","G6/G7","No function","840","810","55930","54230"
"Leaver Dept.","2021","G6/G7","Project Delivery","140","140","57070","54730"
"Leaver Dept.","2021","G6/G7","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Unknown","760","620","57910","56150"
"Leaver Dept.","2021","SCS","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","No function","140","130","88340","77730"
"Leaver Dept.","2021","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Unknown","120","90","88510","79680"
"Leaver Dept.","2021","SEO/HEO","Analysis","150","150","35230","33990"
"Leaver Dept.","2021","SEO/HEO","Commercial","70","70","37700","37410"
"Leaver Dept.","2021","SEO/HEO","Communications","120","110","37420","36660"
"Leaver Dept.","2021","SEO/HEO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Digital, Data & Technology","100","90","36710","36030"
"Leaver Dept.","2021","SEO/HEO","Finance","90","80","38920","38070"
"Leaver Dept.","2021","SEO/HEO","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Human Resources","210","210","35680","34400"
"Leaver Dept.","2021","SEO/HEO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Legal","50","50","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","No function","1760","1740","33990","32750"
"Leaver Dept.","2021","SEO/HEO","Project Delivery","270","260","34420","33460"
"Leaver Dept.","2021","SEO/HEO","Property","50","40","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Security","30","30","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Unknown","1630","1400","36100","35230"
"Leaver Dept.","2021","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","No function","90","90","[c]","[c]"
"Leaver Dept.","2021","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","120","110","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Debt","50","40","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Grants Management","30","30","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Human Resources","70","70","21720","21170"
"Leaver Dept.","2022","AA/AO","Legal","40","40","[c]","[c]"
"Leaver Dept.","2022","AA/AO","No function","2090","1920","21300","21260"
"Leaver Dept.","2022","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Property","30","30","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Unknown","890","840","22000","21680"
"Leaver Dept.","2022","EO","Analysis","30","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Commercial","40","40","[c]","[c]"
"Leaver Dept.","2022","EO","Communications","70","40","[c]","[c]"
"Leaver Dept.","2022","EO","Counter Fraud","70","60","27720","27570"
"Leaver Dept.","2022","EO","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Digital, Data & Technology","100","90","27490","27350"
"Leaver Dept.","2022","EO","Finance","100","60","26220","26350"
"Leaver Dept.","2022","EO","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Human Resources","200","170","27160","27500"
"Leaver Dept.","2022","EO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Legal","50","50","27010","27010"
"Leaver Dept.","2022","EO","No function","3400","3200","27210","27570"
"Leaver Dept.","2022","EO","Project Delivery","120","120","24730","25670"
"Leaver Dept.","2022","EO","Property","40","30","[c]","[c]"
"Leaver Dept.","2022","EO","Security","40","40","[c]","[c]"
"Leaver Dept.","2022","EO","Unknown","980","930","26750","26050"
"Leaver Dept.","2022","G6/G7","Analysis","200","100","56590","54140"
"Leaver Dept.","2022","G6/G7","Commercial","120","110","58890","54870"
"Leaver Dept.","2022","G6/G7","Communications","140","80","59220","56540"
"Leaver Dept.","2022","G6/G7","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Digital, Data & Technology","200","170","57860","55700"
"Leaver Dept.","2022","G6/G7","Finance","150","120","57990","56390"
"Leaver Dept.","2022","G6/G7","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Human Resources","150","140","57700","56950"
"Leaver Dept.","2022","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Legal","100","90","60010","59130"
"Leaver Dept.","2022","G6/G7","No function","2970","2670","57710","54700"
"Leaver Dept.","2022","G6/G7","Project Delivery","160","160","56520","55220"
"Leaver Dept.","2022","G6/G7","Property","30","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Unknown","530","400","60950","57740"
"Leaver Dept.","2022","SCS","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Commercial","30","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","No function","620","510","100790","98000"
"Leaver Dept.","2022","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Unknown","80","60","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Analysis","290","260","35840","34900"
"Leaver Dept.","2022","SEO/HEO","Commercial","250","140","37510","37580"
"Leaver Dept.","2022","SEO/HEO","Communications","220","210","36900","36800"
"Leaver Dept.","2022","SEO/HEO","Counter Fraud","50","50","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Digital, Data & Technology","450","370","36630","36330"
"Leaver Dept.","2022","SEO/HEO","Finance","300","220","36770","35850"
"Leaver Dept.","2022","SEO/HEO","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Human Resources","300","280","34950","34010"
"Leaver Dept.","2022","SEO/HEO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","No function","5560","5130","35400","34550"
"Leaver Dept.","2022","SEO/HEO","Project Delivery","360","350","35720","36250"
"Leaver Dept.","2022","SEO/HEO","Property","70","60","36330","36380"
"Leaver Dept.","2022","SEO/HEO","Security","70","70","36230","34970"
"Leaver Dept.","2022","SEO/HEO","Unknown","1090","950","37580","37000"
"Leaver Dept.","2022","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","No function","150","140","[c]","[c]"
"Leaver Dept.","2022","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","170","80","[c]","[c]"
"New entrant CS","2021","AA/AO","Analysis","120","120","21430","21020"
"New entrant CS","2021","AA/AO","Commercial","80","70","21070","20920"
"New entrant CS","2021","AA/AO","Communications","70","70","21830","21460"
"New entrant CS","2021","AA/AO","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Debt","940","920","20320","20140"
"New entrant CS","2021","AA/AO","Digital, Data & Technology","100","100","21410","20920"
"New entrant CS","2021","AA/AO","Finance","110","100","20510","20140"
"New entrant CS","2021","AA/AO","Grants Management","40","40","[c]","[c]"
"New entrant CS","2021","AA/AO","Human Resources","210","200","20800","20920"
"New entrant CS","2021","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Legal","390","390","20470","20120"
"New entrant CS","2021","AA/AO","No function","10090","9780","21660","20670"
"New entrant CS","2021","AA/AO","Project Delivery","70","70","21660","21050"
"New entrant CS","2021","AA/AO","Property","260","250","21070","20880"
"New entrant CS","2021","AA/AO","Security","610","600","24530","22650"
"New entrant CS","2021","AA/AO","Unknown","7480","7350","21480","21010"
"New entrant CS","2021","EO","Analysis","200","190","26410","26250"
"New entrant CS","2021","EO","Commercial","100","100","25710","26350"
"New entrant CS","2021","EO","Communications","770","760","25670","25560"
"New entrant CS","2021","EO","Counter Fraud","100","100","26300","25560"
"New entrant CS","2021","EO","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Digital, Data & Technology","390","380","26400","26130"
"New entrant CS","2021","EO","Finance","180","180","24760","25000"
"New entrant CS","2021","EO","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Human Resources","220","210","25810","26350"
"New entrant CS","2021","EO","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Legal","210","210","26930","26950"
"New entrant CS","2021","EO","No function","3220","3160","26630","26130"
"New entrant CS","2021","EO","Project Delivery","450","440","23330","25000"
"New entrant CS","2021","EO","Property","160","160","25530","24960"
"New entrant CS","2021","EO","Security","120","120","26690","24620"
"New entrant CS","2021","EO","Unknown","12510","12220","28360","27570"
"New entrant CS","2021","G6/G7","Analysis","120","120","58530","54110"
"New entrant CS","2021","G6/G7","Commercial","120","120","68460","60380"
"New entrant CS","2021","G6/G7","Communications","80","80","58100","56340"
"New entrant CS","2021","G6/G7","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Digital, Data & Technology","480","480","57340","54700"
"New entrant CS","2021","G6/G7","Finance","90","90","58730","57540"
"New entrant CS","2021","G6/G7","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Human Resources","110","110","57240","54970"
"New entrant CS","2021","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Legal","420","400","53610","51100"
"New entrant CS","2021","G6/G7","No function","1160","1120","57090","53500"
"New entrant CS","2021","G6/G7","Project Delivery","270","270","55940","54110"
"New entrant CS","2021","G6/G7","Property","70","70","55770","53500"
"New entrant CS","2021","G6/G7","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","800","760","59400","57430"
"New entrant CS","2021","SCS","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Commercial","160","160","82010","71000"
"New entrant CS","2021","SCS","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","No function","190","150","96250","89810"
"New entrant CS","2021","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Unknown","70","70","97380","92980"
"New entrant CS","2021","SEO/HEO","Analysis","780","770","33620","32540"
"New entrant CS","2021","SEO/HEO","Commercial","270","270","37140","36640"
"New entrant CS","2021","SEO/HEO","Communications","380","370","34770","32500"
"New entrant CS","2021","SEO/HEO","Counter Fraud","70","70","33160","31810"
"New entrant CS","2021","SEO/HEO","Digital, Data & Technology","860","850","36400","36040"
"New entrant CS","2021","SEO/HEO","Finance","380","370","36180","35680"
"New entrant CS","2021","SEO/HEO","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Human Resources","310","300","34120","33250"
"New entrant CS","2021","SEO/HEO","Internal Audit","30","30","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Legal","370","370","34910","37230"
"New entrant CS","2021","SEO/HEO","No function","5100","4910","33850","32790"
"New entrant CS","2021","SEO/HEO","Project Delivery","900","890","36050","35290"
"New entrant CS","2021","SEO/HEO","Property","250","240","34820","33300"
"New entrant CS","2021","SEO/HEO","Security","100","100","34920","33840"
"New entrant CS","2021","SEO/HEO","Unknown","1860","1820","35890","35110"
"New entrant CS","2021","Unknown","Commercial","40","40","[c]","[c]"
"New entrant CS","2021","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","No function","1440","1310","22930","22920"
"New entrant CS","2021","Unknown","Project Delivery","150","150","35590","33000"
"New entrant CS","2021","Unknown","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","340","340","[c]","[c]"
"New entrant CS","2022","AA/AO","Analysis","190","190","21690","21260"
"New entrant CS","2022","AA/AO","Commercial","60","60","20710","21170"
"New entrant CS","2022","AA/AO","Communications","160","150","21470","21250"
"New entrant CS","2022","AA/AO","Counter Fraud","530","520","22250","21260"
"New entrant CS","2022","AA/AO","Debt","980","940","21290","21250"
"New entrant CS","2022","AA/AO","Digital, Data & Technology","280","270","20580","21170"
"New entrant CS","2022","AA/AO","Finance","170","160","21160","21250"
"New entrant CS","2022","AA/AO","Grants Management","480","450","21220","21300"
"New entrant CS","2022","AA/AO","Human Resources","310","290","21340","21170"
"New entrant CS","2022","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","AA/AO","Legal","330","320","21390","21250"
"New entrant CS","2022","AA/AO","No function","16500","15990","22160","21260"
"New entrant CS","2022","AA/AO","Project Delivery","140","130","21240","21260"
"New entrant CS","2022","AA/AO","Property","320","310","21590","21750"
"New entrant CS","2022","AA/AO","Security","480","480","25050","24470"
"New entrant CS","2022","AA/AO","Unknown","3220","3120","21730","21260"
"New entrant CS","2022","EO","Analysis","270","270","26760","26390"
"New entrant CS","2022","EO","Commercial","210","210","25870","26350"
"New entrant CS","2022","EO","Communications","800","770","26680","26590"
"New entrant CS","2022","EO","Counter Fraud","850","830","27660","27570"
"New entrant CS","2022","EO","Debt","40","40","[c]","[c]"
"New entrant CS","2022","EO","Digital, Data & Technology","590","590","26520","26580"
"New entrant CS","2022","EO","Finance","330","300","25350","25120"
"New entrant CS","2022","EO","Grants Management","40","40","[c]","[c]"
"New entrant CS","2022","EO","Human Resources","390","360","26150","26590"
"New entrant CS","2022","EO","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Legal","310","300","27220","26950"
"New entrant CS","2022","EO","No function","8060","7860","27520","27570"
"New entrant CS","2022","EO","Project Delivery","500","490","23180","24000"
"New entrant CS","2022","EO","Property","270","260","25420","25000"
"New entrant CS","2022","EO","Security","190","190","27370","26350"
"New entrant CS","2022","EO","Unknown","3360","3200","27350","27230"
"New entrant CS","2022","G6/G7","Analysis","150","130","57700","54110"
"New entrant CS","2022","G6/G7","Commercial","250","250","66670","65750"
"New entrant CS","2022","G6/G7","Communications","90","80","57540","54850"
"New entrant CS","2022","G6/G7","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Digital, Data & Technology","670","660","55290","54150"
"New entrant CS","2022","G6/G7","Finance","150","140","55630","54110"
"New entrant CS","2022","G6/G7","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Human Resources","170","160","55740","54110"
"New entrant CS","2022","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Legal","370","350","53810","51810"
"New entrant CS","2022","G6/G7","No function","1530","1480","55840","53360"
"New entrant CS","2022","G6/G7","Project Delivery","260","260","56350","54110"
"New entrant CS","2022","G6/G7","Property","150","150","56150","54270"
"New entrant CS","2022","G6/G7","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Unknown","700","670","58740","57190"
"New entrant CS","2022","SCS","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","No function","180","160","96200","88790"
"New entrant CS","2022","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Unknown","60","50","90560","84560"
"New entrant CS","2022","SEO/HEO","Analysis","870","830","33900","33080"
"New entrant CS","2022","SEO/HEO","Commercial","430","370","35600","35900"
"New entrant CS","2022","SEO/HEO","Communications","460","450","35390","33370"
"New entrant CS","2022","SEO/HEO","Counter Fraud","180","180","34990","33080"
"New entrant CS","2022","SEO/HEO","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SEO/HEO","Digital, Data & Technology","1310","1270","36010","35900"
"New entrant CS","2022","SEO/HEO","Finance","500","460","36300","36340"
"New entrant CS","2022","SEO/HEO","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SEO/HEO","Human Resources","460","450","34350","33020"
"New entrant CS","2022","SEO/HEO","Internal Audit","30","30","[c]","[c]"
"New entrant CS","2022","SEO/HEO","Legal","240","230","39870","40000"
"New entrant CS","2022","SEO/HEO","No function","6800","6630","34080","33080"
"New entrant CS","2022","SEO/HEO","Project Delivery","900","880","36130","36000"
"New entrant CS","2022","SEO/HEO","Property","370","360","35470","33080"
"New entrant CS","2022","SEO/HEO","Security","160","160","35380","34130"
"New entrant CS","2022","SEO/HEO","Unknown","2130","2080","36110","35050"
"New entrant CS","2022","Unknown","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","No function","8830","8130","28550","26310"
"New entrant CS","2022","Unknown","Project Delivery","180","180","35730","32000"
"New entrant CS","2022","Unknown","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Unknown","180","160","21310","16190"
"Notes","Summary figures are suppressed when information relates to less than 30 civil servants for FTE or Headcount, and less than 50 civil servants for median and mean salary (shown as [c]). Additionally, zero responses have been suppressed for GPDR protected characteristics. Figures are rounded to the nearest 10, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2022-07-26, with GIT 03ee02c.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Organisation specific notes on status: In late June 2021 around 7,000 employees from Community Rehabilitation Companies were transferred in from the private sector to HM Prison and Probation Service, counting as entrants. The Defence Electronics and Components Agency does not record the date in which their employees first enter the Civil Service and so entrants data is not available. HM Land Registry do not record where their departing employees transfer to and so are unable to identify those that transfer to another Civil Service department.","","","","","",""
"Year","Year of data collection (as at March 31st).","","","","","",""
"Responsibility_level","With the exception of the Senior Civil Service level, government departments have delegated pay and grading. For statistical purposes departments are asked to map their grades to a common framework by responsibility level.","","","","","",""
"","This table shows staff in their substantive responsibility level unless on temporary promotion in which case staff are recorded at the higher responsibility level.","","","","","",""
"Function_of_post","Functions relate to the post occupied by the person and are not dependent on qualifications the individual may have.","","","","","",""
"","Home Office, Welsh Government and Royal Fleet Auxiliary did not report any functions information for their employees.","","","","","",""
"","Of the 20 bodies under the Scottish Government, 16 did not report any functions information for their employees.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 10).","","","","","",""
"FTE","Total full-time equivalent employment numbers (rounded to nearest 10).","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
