"Status","Year","Responsibility_level","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","G6/G7","East of England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","London","1620","1480","57710","55650"
"Leaver Dept.","2021","G6/G7","North East (England)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","North West (England)","80","80","54900","52630"
"Leaver Dept.","2021","G6/G7","Northern Ireland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Overseas","50","30","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Scotland","50","40","[c]","[c]"
"Leaver Dept.","2021","G6/G7","South East (England)","40","40","[c]","[c]"
"Leaver Dept.","2021","G6/G7","South West (England)","140","140","53940","53410"
"Leaver Dept.","2021","G6/G7","Unknown","80","80","57600","54700"
"Leaver Dept.","2021","G6/G7","Wales","60","60","55920","54460"
"Leaver Dept.","2021","G6/G7","West Midlands (England)","40","40","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Yorkshire and The Humber","80","70","54970","52250"
"Leaver Dept.","2021","SCS","London","280","240","88390","79490"
"Leaver Dept.","2021","SCS","North East (England)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","North West (England)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Overseas","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","South East (England)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","South West (England)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Wales","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","East Midlands (England)","70","60","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","East of England","70","70","35300","34340"
"Leaver Dept.","2021","SEO/HEO","London","2310","2120","36710","35400"
"Leaver Dept.","2021","SEO/HEO","North East (England)","130","120","33330","32000"
"Leaver Dept.","2021","SEO/HEO","North West (England)","240","230","34260","32830"
"Leaver Dept.","2021","SEO/HEO","Northern Ireland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Overseas","50","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Scotland","130","130","35540","35110"
"Leaver Dept.","2021","SEO/HEO","South East (England)","120","120","34470","33300"
"Leaver Dept.","2021","SEO/HEO","South West (England)","360","350","33340","32940"
"Leaver Dept.","2021","SEO/HEO","Unknown","570","570","31830","32000"
"Leaver Dept.","2021","SEO/HEO","Wales","170","170","35750","36030"
"Leaver Dept.","2021","SEO/HEO","West Midlands (England)","110","110","33810","31990"
"Leaver Dept.","2021","SEO/HEO","Yorkshire and The Humber","230","210","34920","34450"
"Leaver Dept.","2021","Unknown","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","East of England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","London","100","90","[c]","[c]"
"Leaver Dept.","2021","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","North West (England)","30","30","[c]","[c]"
"Leaver Dept.","2021","Unknown","Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","South East (England)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","South West (England)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Wales","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","East Midlands (England)","170","160","20550","20970"
"Leaver Dept.","2022","AA/AO","East of England","130","110","21660","21820"
"Leaver Dept.","2022","AA/AO","London","500","440","23370","23720"
"Leaver Dept.","2022","AA/AO","North East (England)","360","340","21170","21260"
"Leaver Dept.","2022","AA/AO","North West (England)","510","480","20910","21170"
"Leaver Dept.","2022","AA/AO","Northern Ireland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Overseas","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Scotland","430","410","21640","21260"
"Leaver Dept.","2022","AA/AO","South East (England)","190","160","21810","21820"
"Leaver Dept.","2022","AA/AO","South West (England)","310","290","20780","20530"
"Leaver Dept.","2022","AA/AO","Unknown","80","70","21370","21840"
"Leaver Dept.","2022","AA/AO","Wales","150","150","21220","21260"
"Leaver Dept.","2022","AA/AO","West Midlands (England)","310","290","20660","20970"
"Leaver Dept.","2022","AA/AO","Yorkshire and The Humber","220","200","20990","21030"
"Leaver Dept.","2022","EO","East Midlands (England)","180","170","25870","26780"
"Leaver Dept.","2022","EO","East of England","170","170","26920","27370"
"Leaver Dept.","2022","EO","London","1620","1440","28610","28310"
"Leaver Dept.","2022","EO","North East (England)","270","260","26910","27570"
"Leaver Dept.","2022","EO","North West (England)","680","660","26260","27370"
"Leaver Dept.","2022","EO","Northern Ireland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Overseas","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Scotland","500","480","26950","27570"
"Leaver Dept.","2022","EO","South East (England)","250","240","27190","27570"
"Leaver Dept.","2022","EO","South West (England)","400","380","25110","25060"
"Leaver Dept.","2022","EO","Unknown","110","70","27280","27500"
"Leaver Dept.","2022","EO","Wales","240","230","26760","27570"
"Leaver Dept.","2022","EO","West Midlands (England)","430","420","26090","27570"
"Leaver Dept.","2022","EO","Yorkshire and The Humber","370","330","26550","27570"
"Leaver Dept.","2022","G6/G7","East Midlands (England)","50","50","[c]","[c]"
"Leaver Dept.","2022","G6/G7","East of England","90","80","57420","52610"
"Leaver Dept.","2022","G6/G7","London","2920","2460","58850","55420"
"Leaver Dept.","2022","G6/G7","North East (England)","80","80","54260","52020"
"Leaver Dept.","2022","G6/G7","North West (England)","220","210","55730","52440"
"Leaver Dept.","2022","G6/G7","Northern Ireland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Overseas","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Scotland","80","80","56620","53990"
"Leaver Dept.","2022","G6/G7","South East (England)","210","200","58120","54680"
"Leaver Dept.","2022","G6/G7","South West (England)","400","390","56760","53810"
"Leaver Dept.","2022","G6/G7","Unknown","130","90","58280","55160"
"Leaver Dept.","2022","G6/G7","Wales","100","100","56880","55210"
"Leaver Dept.","2022","G6/G7","West Midlands (England)","140","130","57260","52700"
"Leaver Dept.","2022","G6/G7","Yorkshire and The Humber","350","230","56110","52750"
"Leaver Dept.","2022","SCS","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","East of England","30","30","[c]","[c]"
"Leaver Dept.","2022","SCS","London","560","440","95470","91530"
"Leaver Dept.","2022","SCS","North East (England)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","North West (England)","40","30","[c]","[c]"
"Leaver Dept.","2022","SCS","Overseas","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","South East (England)","40","30","[c]","[c]"
"Leaver Dept.","2022","SCS","South West (England)","50","40","[c]","[c]"
"Leaver Dept.","2022","SCS","Unknown","30","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Wales","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","West Midlands (England)","40","30","[c]","[c]"
"Leaver Dept.","2022","SCS","Yorkshire and The Humber","40","30","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","East Midlands (England)","220","200","34200","32960"
"Leaver Dept.","2022","SEO/HEO","East of England","240","220","36010","36330"
"Leaver Dept.","2022","SEO/HEO","London","4530","4040","36640","35430"
"Leaver Dept.","2022","SEO/HEO","North East (England)","250","240","34410","33230"
"Leaver Dept.","2022","SEO/HEO","North West (England)","590","560","34690","34530"
"Leaver Dept.","2022","SEO/HEO","Northern Ireland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Overseas","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Scotland","240","230","36060","33930"
"Leaver Dept.","2022","SEO/HEO","South East (England)","360","350","36450","37830"
"Leaver Dept.","2022","SEO/HEO","South West (England)","950","900","34910","35410"
"Leaver Dept.","2022","SEO/HEO","Unknown","380","290","33650","32000"
"Leaver Dept.","2022","SEO/HEO","Wales","240","230","34570","32780"
"Leaver Dept.","2022","SEO/HEO","West Midlands (England)","370","360","34940","34530"
"Leaver Dept.","2022","SEO/HEO","Yorkshire and The Humber","670","480","34800","34310"
"Leaver Dept.","2022","Unknown","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","East of England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","London","140","90","[c]","[c]"
"Leaver Dept.","2022","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","North West (England)","30","30","[c]","[c]"
"Leaver Dept.","2022","Unknown","Overseas","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","South East (England)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","South West (England)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Wales","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Yorkshire and The Humber","40","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","East Midlands (England)","1050","1020","20900","21010"
"New entrant CS","2021","AA/AO","East of England","1190","1170","22520","21500"
"New entrant CS","2021","AA/AO","London","2500","2470","24220","24220"
"New entrant CS","2021","AA/AO","North East (England)","1910","1880","20830","21010"
"New entrant CS","2021","AA/AO","North West (England)","2850","2800","20840","21010"
"New entrant CS","2021","AA/AO","Northern Ireland","220","210","20210","20140"
"New entrant CS","2021","AA/AO","Overseas","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Scotland","2210","2150","20790","20140"
"New entrant CS","2021","AA/AO","South East (England)","2200","2130","22870","21430"
"New entrant CS","2021","AA/AO","South West (England)","1630","1570","21040","21010"
"New entrant CS","2021","AA/AO","Unknown","110","110","21350","21010"
"New entrant CS","2021","AA/AO","Wales","1540","1470","20540","20600"
"New entrant CS","2021","AA/AO","West Midlands (England)","1380","1350","20880","20880"
"New entrant CS","2021","AA/AO","Yorkshire and The Humber","1780","1740","21010","21010"
"New entrant CS","2021","EO","East Midlands (England)","940","920","26880","27570"
"New entrant CS","2021","EO","East of England","1270","1240","27900","27570"
"New entrant CS","2021","EO","London","4960","4870","29520","31060"
"New entrant CS","2021","EO","North East (England)","870","860","26300","25560"
"New entrant CS","2021","EO","North West (England)","1900","1880","26940","27570"
"New entrant CS","2021","EO","Northern Ireland","90","90","26160","25560"
"New entrant CS","2021","EO","Overseas","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Scotland","1150","1130","26590","27570"
"New entrant CS","2021","EO","South East (England)","2250","2190","27730","27570"
"New entrant CS","2021","EO","South West (England)","1590","1530","26110","27570"
"New entrant CS","2021","EO","Unknown","220","210","27510","27570"
"New entrant CS","2021","EO","Wales","710","700","26160","27570"
"New entrant CS","2021","EO","West Midlands (England)","1200","1160","26840","27570"
"New entrant CS","2021","EO","Yorkshire and The Humber","1540","1510","26760","27570"
"New entrant CS","2021","G6/G7","East Midlands (England)","70","70","56690","52580"
"New entrant CS","2021","G6/G7","East of England","60","60","60550","54920"
"New entrant CS","2021","G6/G7","London","1850","1800","58670","55710"
"New entrant CS","2021","G6/G7","North East (England)","80","80","54270","52220"
"New entrant CS","2021","G6/G7","North West (England)","290","280","55490","53000"
"New entrant CS","2021","G6/G7","Northern Ireland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Overseas","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Scotland","280","270","56130","52580"
"New entrant CS","2021","G6/G7","South East (England)","200","190","57960","53500"
"New entrant CS","2021","G6/G7","South West (England)","290","280","56790","54000"
"New entrant CS","2021","G6/G7","Unknown","50","50","[c]","[c]"
"New entrant CS","2021","G6/G7","Wales","120","120","56240","52620"
"New entrant CS","2021","G6/G7","West Midlands (England)","180","170","56660","52580"
"New entrant CS","2021","G6/G7","Yorkshire and The Humber","280","270","55860","52580"
"New entrant CS","2021","SCS","East Midlands (England)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","East of England","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","London","330","310","91150","82100"
"New entrant CS","2021","SCS","North East (England)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","North West (England)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Northern Ireland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","South East (England)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","South West (England)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Wales","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","West Midlands (England)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","East Midlands (England)","290","280","34290","31810"
"New entrant CS","2021","SEO/HEO","East of England","300","280","34060","33000"
"New entrant CS","2021","SEO/HEO","London","5200","5110","35500","34550"
"New entrant CS","2021","SEO/HEO","North East (England)","310","300","33710","31990"
"New entrant CS","2021","SEO/HEO","North West (England)","800","780","33950","31990"
"New entrant CS","2021","SEO/HEO","Northern Ireland","40","40","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Overseas","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Scotland","820","800","34940","33550"
"New entrant CS","2021","SEO/HEO","South East (England)","720","700","34210","33000"
"New entrant CS","2021","SEO/HEO","South West (England)","1170","1120","34710","33290"
"New entrant CS","2021","SEO/HEO","Unknown","180","180","32000","31990"
"New entrant CS","2021","SEO/HEO","Wales","500","490","33980","31810"
"New entrant CS","2021","SEO/HEO","West Midlands (England)","500","480","35270","35000"
"New entrant CS","2021","SEO/HEO","Yorkshire and The Humber","780","760","33070","31810"
"New entrant CS","2021","Unknown","East Midlands (England)","120","100","23240","22920"
"New entrant CS","2021","Unknown","East of England","190","180","21800","22920"
"New entrant CS","2021","Unknown","London","270","260","26420","26810"
"New entrant CS","2021","Unknown","North East (England)","80","70","23110","22920"
"New entrant CS","2021","Unknown","North West (England)","160","130","25330","22920"
"New entrant CS","2021","Unknown","Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","South East (England)","240","220","23940","22920"
"New entrant CS","2021","Unknown","South West (England)","270","250","29340","25000"
"New entrant CS","2021","Unknown","Unknown","320","320","[c]","[c]"
"New entrant CS","2021","Unknown","Wales","70","70","22160","22920"
"New entrant CS","2021","Unknown","West Midlands (England)","180","150","22580","22920"
"New entrant CS","2021","Unknown","Yorkshire and The Humber","110","100","22460","22920"
"New entrant CS","2022","AA/AO","East Midlands (England)","1610","1570","21570","21260"
"New entrant CS","2022","AA/AO","East of England","1300","1270","23130","22180"
"New entrant CS","2022","AA/AO","London","1900","1860","25200","24900"
"New entrant CS","2022","AA/AO","North East (England)","2040","1980","21450","21260"
"New entrant CS","2022","AA/AO","North West (England)","3660","3550","21370","21260"
"New entrant CS","2022","AA/AO","Northern Ireland","240","230","21120","21250"
"New entrant CS","2022","AA/AO","Overseas","[c]","[c]","[c]","[c]"
"New entrant CS","2022","AA/AO","Scotland","3320","3230","21730","21250"
"New entrant CS","2022","AA/AO","South East (England)","2350","2250","23570","22230"
"New entrant CS","2022","AA/AO","South West (England)","1700","1650","21350","21260"
"New entrant CS","2022","AA/AO","Unknown","130","120","20990","21260"
"New entrant CS","2022","AA/AO","Wales","1960","1880","20950","21250"
"New entrant CS","2022","AA/AO","West Midlands (England)","1880","1820","21500","21250"
"New entrant CS","2022","AA/AO","Yorkshire and The Humber","2040","1980","21670","21260"
"New entrant CS","2022","EO","East Midlands (England)","780","770","26690","26590"
"New entrant CS","2022","EO","East of England","690","650","27730","27570"
"New entrant CS","2022","EO","London","3780","3630","28880","28650"
"New entrant CS","2022","EO","North East (England)","920","910","26600","26590"
"New entrant CS","2022","EO","North West (England)","2110","2080","26700","26590"
"New entrant CS","2022","EO","Northern Ireland","160","160","26160","26590"
"New entrant CS","2022","EO","Overseas","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Scotland","2010","1960","26990","27230"
"New entrant CS","2022","EO","South East (England)","1020","960","27010","26350"
"New entrant CS","2022","EO","South West (England)","1080","1050","24620","25000"
"New entrant CS","2022","EO","Unknown","120","100","27870","27570"
"New entrant CS","2022","EO","Wales","800","780","26440","26590"
"New entrant CS","2022","EO","West Midlands (England)","1370","1340","26760","27370"
"New entrant CS","2022","EO","Yorkshire and The Humber","1380","1340","26490","26590"
"New entrant CS","2022","G6/G7","East Midlands (England)","80","70","54860","50430"
"New entrant CS","2022","G6/G7","East of England","80","70","59900","53500"
"New entrant CS","2022","G6/G7","London","1770","1700","58380","54770"
"New entrant CS","2022","G6/G7","North East (England)","160","160","53630","51100"
"New entrant CS","2022","G6/G7","North West (England)","380","370","55990","53000"
"New entrant CS","2022","G6/G7","Northern Ireland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Overseas","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Scotland","480","470","56590","53480"
"New entrant CS","2022","G6/G7","South East (England)","240","230","57100","53210"
"New entrant CS","2022","G6/G7","South West (England)","400","380","54220","51500"
"New entrant CS","2022","G6/G7","Unknown","50","50","[c]","[c]"
"New entrant CS","2022","G6/G7","Wales","200","200","55450","52000"
"New entrant CS","2022","G6/G7","West Midlands (England)","270","270","55970","51300"
"New entrant CS","2022","G6/G7","Yorkshire and The Humber","420","400","55220","52050"
"New entrant CS","2022","SCS","East Midlands (England)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","East of England","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","London","200","190","100570","92780"
"New entrant CS","2022","SCS","North East (England)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","North West (England)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Northern Ireland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","South East (England)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","South West (England)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Wales","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","West Midlands (England)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SEO/HEO","East Midlands (England)","480","460","34260","33080"
"New entrant CS","2022","SEO/HEO","East of England","320","300","35900","34000"
"New entrant CS","2022","SEO/HEO","London","5020","4890","35940","34710"
"New entrant CS","2022","SEO/HEO","North East (England)","560","550","33520","33080"
"New entrant CS","2022","SEO/HEO","North West (England)","1260","1240","34210","33080"
"New entrant CS","2022","SEO/HEO","Northern Ireland","170","170","34480","33080"
"New entrant CS","2022","SEO/HEO","Overseas","30","30","[c]","[c]"
"New entrant CS","2022","SEO/HEO","Scotland","1740","1710","35690","33080"
"New entrant CS","2022","SEO/HEO","South East (England)","800","780","33860","33000"
"New entrant CS","2022","SEO/HEO","South West (England)","1550","1510","34190","33000"
"New entrant CS","2022","SEO/HEO","Unknown","170","140","31760","30900"
"New entrant CS","2022","SEO/HEO","Wales","810","790","34790","33080"
"New entrant CS","2022","SEO/HEO","West Midlands (England)","850","830","34320","33080"
"New entrant CS","2022","SEO/HEO","Yorkshire and The Humber","1100","1020","34160","33080"
"New entrant CS","2022","Unknown","East Midlands (England)","680","610","28160","25480"
"New entrant CS","2022","Unknown","East of England","900","820","27280","24800"
"New entrant CS","2022","Unknown","London","1090","1020","34270","32090"
"New entrant CS","2022","Unknown","North East (England)","520","500","28170","26980"
"New entrant CS","2022","Unknown","North West (England)","1410","1310","27620","24800"
"New entrant CS","2022","Unknown","Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","South East (England)","1090","1000","28580","25480"
"New entrant CS","2022","Unknown","South West (England)","970","890","28950","26310"
"New entrant CS","2022","Unknown","Unknown","400","370","23820","16190"
"New entrant CS","2022","Unknown","Wales","420","410","26200","23170"
"New entrant CS","2022","Unknown","West Midlands (England)","860","770","27820","24800"
"New entrant CS","2022","Unknown","Yorkshire and The Humber","910","820","28030","25480"
"Notes","Summary figures are suppressed when information relates to less than 30 civil servants for FTE or Headcount, and less than 50 civil servants for median and mean salary (shown as [c]). Additionally, zero responses have been suppressed for GPDR protected characteristics. Figures are rounded to the nearest 10, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2022-07-26, with GIT 03ee02c.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Organisation specific notes on status: In late June 2021 around 7,000 employees from Community Rehabilitation Companies were transferred in from the private sector to HM Prison and Probation Service, counting as entrants. The Defence Electronics and Components Agency does not record the date in which their employees first enter the Civil Service and so entrants data is not available. HM Land Registry do not record where their departing employees transfer to and so are unable to identify those that transfer to another Civil Service department.","","","","","",""
"Year","Year of data collection (as at March 31st).","","","","","",""
"Responsibility_level","With the exception of the Senior Civil Service level, government departments have delegated pay and grading. For statistical purposes departments are asked to map their grades to a common framework by responsibility level.","","","","","",""
"","This table shows staff in their substantive responsibility level unless on temporary promotion in which case staff are recorded at the higher responsibility level.","","","","","",""
"Region_ITL1","Workplace postcode data are used to derive geographical information using the International Territorial Level (ITL) classification standard.","","","","","",""
"","Following the UK's withdrawal from the EU, a new UK-managed international statistical geography - International Territorial Levels (ITL) - was introduced from 1st January 2021, replacing the former NUTS classification. They align with international standards, enabling comparability both over time and internationally. To ensure continued alignment, the ITLs mirror the NUTS system. They also follow a similar review timetable - every three years.","","","","","",""
"","ITL 1 divides into Wales, Scotland, Northern Ireland, and the 9 statistical regions of England.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 10).","","","","","",""
"FTE","Total full-time equivalent employment numbers (rounded to nearest 10).","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
