"Status","Year","Sex","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Attorney General's Departments","6380","5800","43720","43920"
"In post","2021","Female","Cabinet Office","5040","4890","44370","35590"
"In post","2021","Female","Chancellor's other departments","180","170","53350","47140"
"In post","2021","Female","Charity Commission","250","230","34360","29160"
"In post","2021","Female","Competition and Markets Authority","430","410","58550","55860"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","6480","6080","39070","35120"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","960","930","48180","51730"
"In post","2021","Female","Department for Education","4640","4400","43120","38400"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","6190","5720","34880","30730"
"In post","2021","Female","Department for International Trade","1270","1250","44620","38690"
"In post","2021","Female","Department for Transport","7280","6400","30310","26470"
"In post","2021","Female","Department for Work and Pensions","60840","52460","27470","27570"
"In post","2021","Female","Department of Health and Social Care","7680","7090","43370","38220"
"In post","2021","Female","ESTYN","70","60","53760","63880"
"In post","2021","Female","Food Standards Agency","530","510","39290","37910"
"In post","2021","Female","Foreign, Commonwealth and Development Office","4220","4080","46170","40420"
"In post","2021","Female","HM Land Registry","3810","3360","30140","27130"
"In post","2021","Female","HM Revenue and Customs","35050","30910","30180","25560"
"In post","2021","Female","HM Treasury","1300","1240","46020","42100"
"In post","2021","Female","Home Office","18320","16540","31370","27370"
"In post","2021","Female","Ministry of Defence","22810","21510","32230","28650"
"In post","2021","Female","Ministry of Housing, Communities and Local Government","1690","1600","44110","39690"
"In post","2021","Female","Ministry of Justice","43430","39830","28690","25350"
"In post","2021","Female","National Crime Agency","2450","2340","37450","36410"
"In post","2021","Female","Northern Ireland Office","90","90","42530","36800"
"In post","2021","Female","Office for Standards in Education","1190","1130","48570","51360"
"In post","2021","Female","Office of Gas and Electricity Markets","540","520","43060","37300"
"In post","2021","Female","Office of Qualifications and Examinations Regulation","150","150","43160","39250"
"In post","2021","Female","Office of Rail and Road","140","130","49310","49580"
"In post","2021","Female","Other Cabinet Office Agencies","500","470","38200","34800"
"In post","2021","Female","Scotland Office","70","70","48330","48930"
"In post","2021","Female","Scottish Government","11560","10750","36180","30650"
"In post","2021","Female","The National Archives","290","270","35110","32290"
"In post","2021","Female","UK Export Finance","150","150","49040","43000"
"In post","2021","Female","UK Supreme Court","30","30","[c]","[c]"
"In post","2021","Female","United Kingdom Statistics Authority","3110","2730","31370","29540"
"In post","2021","Female","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Water Services Regulation Authority","130","120","55630","48850"
"In post","2021","Female","Welsh Government","3420","3160","39810","37410"
"In post","2021","Male","Attorney General's Departments","3460","3380","47590","50500"
"In post","2021","Male","Cabinet Office","4420","4380","49300","40600"
"In post","2021","Male","Chancellor's other departments","230","220","62910","52250"
"In post","2021","Male","Charity Commission","190","180","35510","29550"
"In post","2021","Male","Competition and Markets Authority","410","400","62650","59140"
"In post","2021","Male","Department for Business, Energy and Industrial Strategy","6680","6540","43190","40050"
"In post","2021","Male","Department for Digital, Culture, Media and Sport","820","810","50260","51730"
"In post","2021","Male","Department for Education","3290","3260","44760","40510"
"In post","2021","Male","Department for Environment, Food and Rural Affairs","4850","4760","37450","33120"
"In post","2021","Male","Department for International Trade","1420","1420","46910","41180"
"In post","2021","Male","Department for Transport","8700","8410","35080","30580"
"In post","2021","Male","Department for Work and Pensions","32690","31370","29220","27570"
"In post","2021","Male","Department of Health and Social Care","4070","3950","48700","41950"
"In post","2021","Male","ESTYN","50","50","[c]","[c]"
"In post","2021","Male","Food Standards Agency","780","760","35880","30810"
"In post","2021","Male","Foreign, Commonwealth and Development Office","4420","4370","48600","44880"
"In post","2021","Male","HM Land Registry","2540","2410","32510","27130"
"In post","2021","Male","HM Revenue and Customs","31430","30180","32580","29570"
"In post","2021","Male","HM Treasury","1370","1360","50120","52500"
"In post","2021","Male","Home Office","17060","16340","32630","28060"
"In post","2021","Male","Ministry of Defence","34870","34280","35290","33300"
"In post","2021","Male","Ministry of Housing, Communities and Local Government","1710","1660","46440","44180"
"In post","2021","Male","Ministry of Justice","35470","34130","30890","29120"
"In post","2021","Male","National Crime Agency","3040","3010","42180","40170"
"In post","2021","Male","Northern Ireland Office","70","70","45720","38870"
"In post","2021","Male","Office for Standards in Education","590","590","50840","42850"
"In post","2021","Male","Office of Gas and Electricity Markets","640","640","46290","39550"
"In post","2021","Male","Office of Qualifications and Examinations Regulation","110","100","48970","46660"
"In post","2021","Male","Office of Rail and Road","190","190","57610","58450"
"In post","2021","Male","Other Cabinet Office Agencies","500","500","42130","35760"
"In post","2021","Male","Scotland Office","40","40","[c]","[c]"
"In post","2021","Male","Scottish Government","10670","10290","37010","33650"
"In post","2021","Male","The National Archives","250","250","36130","34260"
"In post","2021","Male","UK Export Finance","250","240","56280","50530"
"In post","2021","Male","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Male","United Kingdom Statistics Authority","2380","2170","33990","30130"
"In post","2021","Male","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Male","Water Services Regulation Authority","120","120","56660","51630"
"In post","2021","Male","Welsh Government","2360","2300","42840","37410"
"In post","2021","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","United Kingdom Statistics Authority","50","50","35520","32540"
"In post","2022","Female","Attorney General's Departments","6690","6100","43670","43920"
"In post","2022","Female","Cabinet Office","5900","5730","44400","37300"
"In post","2022","Female","Chancellor's other departments","180","170","54640","48120"
"In post","2022","Female","Charity Commission","290","270","34020","29160"
"In post","2022","Female","Competition and Markets Authority","430","410","58420","55860"
"In post","2022","Female","Department for Business, Energy and Industrial Strategy","7020","6600","39640","36740"
"In post","2022","Female","Department for Digital, Culture, Media and Sport","1100","1070","46410","46980"
"In post","2022","Female","Department for Education","5180","4910","42840","37690"
"In post","2022","Female","Department for Environment, Food and Rural Affairs","7220","6710","34800","30730"
"In post","2022","Female","Department for International Trade","1390","1370","45340","40600"
"In post","2022","Female","Department for Levelling Up, Housing and Communities","2120","2010","44340","39600"
"In post","2022","Female","Department for Transport","7490","6640","30790","26350"
"In post","2022","Female","Department for Work and Pensions","60410","52220","27750","27570"
"In post","2022","Female","Department of Health and Social Care","7660","7160","43650","40060"
"In post","2022","Female","Estyn","70","60","55870","66900"
"In post","2022","Female","Food Standards Agency","650","630","39100","37350"
"In post","2022","Female","Foreign, Commonwealth and Development Office","4020","3890","46770","42410"
"In post","2022","Female","HM Land Registry","4010","3560","30510","27130"
"In post","2022","Female","HM Revenue and Customs","37350","33470","32310","28180"
"In post","2022","Female","HM Treasury","1360","1300","46210","42580"
"In post","2022","Female","Home Office","18870","17210","32070","28350"
"In post","2022","Female","Ministry of Defence","23010","21710","33020","29550"
"In post","2022","Female","Ministry of Justice","49590","45700","29630","26310"
"In post","2022","Female","National Crime Agency","2490","2380","38260","36520"
"In post","2022","Female","Northern Ireland Office","100","100","45360","41750"
"In post","2022","Female","Office for Standards in Education, Children's Services and Skills","1230","1170","49600","51360"
"In post","2022","Female","Office of Gas and Electricity Markets","620","600","42170","36500"
"In post","2022","Female","Office of Qualifications and Examinations Regulation","180","170","42880","38630"
"In post","2022","Female","Office of Rail and Road","150","140","50430","50810"
"In post","2022","Female","Office of the Secretary of State for Scotland","70","70","47490","43000"
"In post","2022","Female","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Female","Scottish Government","13600","12740","36930","31540"
"In post","2022","Female","The National Archives","310","290","35420","34120"
"In post","2022","Female","UK Export Finance","220","210","48260","42000"
"In post","2022","Female","UK Statistics Authority","3360","2950","32720","30710"
"In post","2022","Female","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Female","Water Services Regulation Authority","140","130","52660","44850"
"In post","2022","Female","Welsh Government","3550","3290","40800","38160"
"In post","2022","Male","Attorney General's Departments","3520","3440","47690","50500"
"In post","2022","Male","Cabinet Office","5150","5110","49560","41250"
"In post","2022","Male","Chancellor's other departments","240","230","62090","54100"
"In post","2022","Male","Charity Commission","180","180","33970","29160"
"In post","2022","Male","Competition and Markets Authority","430","420","64140","59450"
"In post","2022","Male","Department for Business, Energy and Industrial Strategy","7060","6910","43430","40050"
"In post","2022","Male","Department for Digital, Culture, Media and Sport","910","910","47640","51730"
"In post","2022","Male","Department for Education","3520","3490","44620","40510"
"In post","2022","Male","Department for Environment, Food and Rural Affairs","5570","5450","37080","33110"
"In post","2022","Male","Department for International Trade","1490","1480","47770","44030"
"In post","2022","Male","Department for Levelling Up, Housing and Communities","2040","1990","45980","42940"
"In post","2022","Male","Department for Transport","8900","8610","35270","30700"
"In post","2022","Male","Department for Work and Pensions","33750","32440","29860","27570"
"In post","2022","Male","Department of Health and Social Care","4150","4030","48070","41410"
"In post","2022","Male","Estyn","50","50","[c]","[c]"
"In post","2022","Male","Food Standards Agency","810","790","36410","30810"
"In post","2022","Male","Foreign, Commonwealth and Development Office","4220","4170","48960","45950"
"In post","2022","Male","HM Land Registry","2620","2480","32540","27130"
"In post","2022","Male","HM Revenue and Customs","34020","32850","34600","33080"
"In post","2022","Male","HM Treasury","1410","1390","50310","52500"
"In post","2022","Male","Home Office","17660","17020","33290","28650"
"In post","2022","Male","Ministry of Defence","34810","34190","35840","33300"
"In post","2022","Male","Ministry of Justice","37310","35780","31560","29670"
"In post","2022","Male","National Crime Agency","3050","3020","42670","40170"
"In post","2022","Male","Northern Ireland Office","80","80","47750","41750"
"In post","2022","Male","Office for Standards in Education, Children's Services and Skills","600","590","51760","51360"
"In post","2022","Male","Office of Gas and Electricity Markets","730","720","44610","38030"
"In post","2022","Male","Office of Qualifications and Examinations Regulation","110","110","47450","46660"
"In post","2022","Male","Office of Rail and Road","200","190","56820","55430"
"In post","2022","Male","Office of the Secretary of State for Scotland","40","40","[c]","[c]"
"In post","2022","Male","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Male","Scottish Government","11730","11350","37830","35000"
"In post","2022","Male","The National Archives","270","260","36030","32310"
"In post","2022","Male","UK Export Finance","280","280","56310","51390"
"In post","2022","Male","UK Statistics Authority","2510","2310","35200","30810"
"In post","2022","Male","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Male","Water Services Regulation Authority","120","120","56760","51630"
"In post","2022","Male","Welsh Government","2410","2350","43660","38160"
"In post","2022","Unknown","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Attorney General's Departments","240","210","45480","50520"
"Leaver CS","2021","Female","Cabinet Office","180","170","42800","33110"
"Leaver CS","2021","Female","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Competition and Markets Authority","40","40","[c]","[c]"
"Leaver CS","2021","Female","Department for Business, Energy and Industrial Strategy","210","190","36760","29040"
"Leaver CS","2021","Female","Department for Digital, Culture, Media and Sport","40","40","[c]","[c]"
"Leaver CS","2021","Female","Department for Education","190","180","42930","36980"
"Leaver CS","2021","Female","Department for Environment, Food and Rural Affairs","300","280","31600","26230"
"Leaver CS","2021","Female","Department for International Trade","80","70","35950","31180"
"Leaver CS","2021","Female","Department for Transport","310","250","25790","21590"
"Leaver CS","2021","Female","Department for Work and Pensions","2820","2290","26360","26890"
"Leaver CS","2021","Female","Department of Health and Social Care","620","460","37720","32650"
"Leaver CS","2021","Female","ESTYN","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Foreign, Commonwealth and Development Office","110","50","42310","38600"
"Leaver CS","2021","Female","HM Land Registry","160","130","31110","27130"
"Leaver CS","2021","Female","HM Revenue and Customs","3450","2780","27750","25000"
"Leaver CS","2021","Female","HM Treasury","60","50","[c]","[c]"
"Leaver CS","2021","Female","Home Office","670","560","28790","25120"
"Leaver CS","2021","Female","Ministry of Defence","1130","1030","29920","26670"
"Leaver CS","2021","Female","Ministry of Housing, Communities and Local Government","70","70","40760","32990"
"Leaver CS","2021","Female","Ministry of Justice","2970","2640","25160","20430"
"Leaver CS","2021","Female","National Crime Agency","60","60","42300","39000"
"Leaver CS","2021","Female","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Office for Standards in Education","90","80","50040","51360"
"Leaver CS","2021","Female","Office of Gas and Electricity Markets","40","40","[c]","[c]"
"Leaver CS","2021","Female","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Scotland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Scottish Government","430","380","34060","28170"
"Leaver CS","2021","Female","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","United Kingdom Statistics Authority","140","110","28830","23050"
"Leaver CS","2021","Female","Wales Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Welsh Government","70","60","40540","36500"
"Leaver CS","2021","Male","Attorney General's Departments","170","150","49880","55000"
"Leaver CS","2021","Male","Cabinet Office","200","190","52180","41590"
"Leaver CS","2021","Male","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Competition and Markets Authority","40","40","[c]","[c]"
"Leaver CS","2021","Male","Department for Business, Energy and Industrial Strategy","300","280","42850","38220"
"Leaver CS","2021","Male","Department for Digital, Culture, Media and Sport","40","40","[c]","[c]"
"Leaver CS","2021","Male","Department for Education","160","150","43970","40300"
"Leaver CS","2021","Male","Department for Environment, Food and Rural Affairs","250","240","35690","29290"
"Leaver CS","2021","Male","Department for International Trade","70","70","40520","32250"
"Leaver CS","2021","Male","Department for Transport","420","370","33140","26780"
"Leaver CS","2021","Male","Department for Work and Pensions","1690","1550","27850","26890"
"Leaver CS","2021","Male","Department of Health and Social Care","310","210","46950","37690"
"Leaver CS","2021","Male","ESTYN","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Foreign, Commonwealth and Development Office","170","100","45460","42050"
"Leaver CS","2021","Male","HM Land Registry","110","100","32440","27130"
"Leaver CS","2021","Male","HM Revenue and Customs","2250","2010","31520","26000"
"Leaver CS","2021","Male","HM Treasury","70","70","[c]","[c]"
"Leaver CS","2021","Male","Home Office","660","590","31920","27250"
"Leaver CS","2021","Male","Ministry of Defence","2090","2010","33390","30800"
"Leaver CS","2021","Male","Ministry of Housing, Communities and Local Government","80","80","42850","41150"
"Leaver CS","2021","Male","Ministry of Justice","2900","2680","27560","21180"
"Leaver CS","2021","Male","National Crime Agency","120","120","44540","41060"
"Leaver CS","2021","Male","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Office for Standards in Education","40","40","[c]","[c]"
"Leaver CS","2021","Male","Office of Gas and Electricity Markets","50","50","[c]","[c]"
"Leaver CS","2021","Male","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Scotland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Scottish Government","510","470","36240","33650"
"Leaver CS","2021","Male","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","United Kingdom Statistics Authority","160","140","28480","22130"
"Leaver CS","2021","Male","Wales Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Welsh Government","70","60","45920","37410"
"Leaver CS","2021","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Department of Health and Social Care","100","90","46080","40230"
"Leaver CS","2021","Unknown","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Attorney General's Departments","410","370","42310","39940"
"Leaver CS","2022","Female","Cabinet Office","380","360","47380","40600"
"Leaver CS","2022","Female","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Competition and Markets Authority","50","50","53920","53920"
"Leaver CS","2022","Female","Department for Business, Energy and Industrial Strategy","370","330","35860","32730"
"Leaver CS","2022","Female","Department for Digital, Culture, Media and Sport","90","80","39170","34020"
"Leaver CS","2022","Female","Department for Education","240","230","40060","36500"
"Leaver CS","2022","Female","Department for Environment, Food and Rural Affairs","510","470","27530","24920"
"Leaver CS","2022","Female","Department for International Trade","100","100","[c]","[c]"
"Leaver CS","2022","Female","Department for Levelling Up, Housing and Communities","110","110","41000","38070"
"Leaver CS","2022","Female","Department for Transport","540","450","28870","21840"
"Leaver CS","2022","Female","Department for Work and Pensions","5460","4610","26820","27570"
"Leaver CS","2022","Female","Department of Health and Social Care","2200","1670","41810","37450"
"Leaver CS","2022","Female","Estyn","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Foreign, Commonwealth and Development Office","180","80","47200","39810"
"Leaver CS","2022","Female","HM Land Registry","230","190","31680","27130"
"Leaver CS","2022","Female","HM Revenue and Customs","2770","2230","28190","22080"
"Leaver CS","2022","Female","HM Treasury","110","110","[c]","[c]"
"Leaver CS","2022","Female","Home Office","1030","870","30600","25630"
"Leaver CS","2022","Female","Ministry of Defence","1800","1640","30370","26670"
"Leaver CS","2022","Female","Ministry of Justice","5230","4700","26000","21170"
"Leaver CS","2022","Female","National Crime Agency","120","110","39450","34140"
"Leaver CS","2022","Female","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Office for Standards in Education, Children's Services and Skills","130","130","50600","51360"
"Leaver CS","2022","Female","Office of Gas and Electricity Markets","110","110","41580","35980"
"Leaver CS","2022","Female","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Scottish Government","640","570","34450","28990"
"Leaver CS","2022","Female","The National Archives","40","40","[c]","[c]"
"Leaver CS","2022","Female","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","UK Statistics Authority","260","220","27460","23050"
"Leaver CS","2022","Female","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Welsh Government","140","110","40980","36080"
"Leaver CS","2022","Male","Attorney General's Departments","250","240","47030","50500"
"Leaver CS","2022","Male","Cabinet Office","440","430","51430","50530"
"Leaver CS","2022","Male","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Charity Commission","40","30","[c]","[c]"
"Leaver CS","2022","Male","Competition and Markets Authority","40","40","[c]","[c]"
"Leaver CS","2022","Male","Department for Business, Energy and Industrial Strategy","470","430","40680","38200"
"Leaver CS","2022","Male","Department for Digital, Culture, Media and Sport","70","70","45480","38010"
"Leaver CS","2022","Male","Department for Education","210","210","43770","37100"
"Leaver CS","2022","Male","Department for Environment, Food and Rural Affairs","440","420","30810","25190"
"Leaver CS","2022","Male","Department for International Trade","120","120","[c]","[c]"
"Leaver CS","2022","Male","Department for Levelling Up, Housing and Communities","130","130","44130","41020"
"Leaver CS","2022","Male","Department for Transport","740","690","32880","26830"
"Leaver CS","2022","Male","Department for Work and Pensions","3410","3190","28080","27570"
"Leaver CS","2022","Male","Department of Health and Social Care","1000","730","45930","38750"
"Leaver CS","2022","Male","Estyn","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Food Standards Agency","60","50","34730","30320"
"Leaver CS","2022","Male","Foreign, Commonwealth and Development Office","240","120","47140","42790"
"Leaver CS","2022","Male","HM Land Registry","180","160","34600","33840"
"Leaver CS","2022","Male","HM Revenue and Customs","2200","1970","33870","28920"
"Leaver CS","2022","Male","HM Treasury","130","130","[c]","[c]"
"Leaver CS","2022","Male","Home Office","1060","930","33210","27910"
"Leaver CS","2022","Male","Ministry of Defence","3240","3120","33830","31920"
"Leaver CS","2022","Male","Ministry of Justice","4550","4280","28760","22570"
"Leaver CS","2022","Male","National Crime Agency","200","200","44200","41170"
"Leaver CS","2022","Male","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Office for Standards in Education, Children's Services and Skills","50","50","58370","62220"
"Leaver CS","2022","Male","Office of Gas and Electricity Markets","130","120","49330","41410"
"Leaver CS","2022","Male","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Scottish Government","790","720","36400","32930"
"Leaver CS","2022","Male","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","UK Export Finance","30","30","[c]","[c]"
"Leaver CS","2022","Male","UK Statistics Authority","310","270","28950","23630"
"Leaver CS","2022","Male","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Welsh Government","110","110","44610","37790"
"Leaver CS","2022","Unknown","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Attorney General's Departments","120","120","42150","38070"
"Leaver Dept.","2021","Female","Cabinet Office","780","770","39070","32320"
"Leaver Dept.","2021","Female","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Department for Business, Energy and Industrial Strategy","310","290","42580","39080"
"Leaver Dept.","2021","Female","Department for Digital, Culture, Media and Sport","120","120","47670","49600"
"Leaver Dept.","2021","Female","Department for Education","160","160","44290","40780"
"Leaver Dept.","2021","Female","Department for Environment, Food and Rural Affairs","310","290","38580","35230"
"Leaver Dept.","2021","Female","Department for International Trade","130","130","43030","38480"
"Leaver Dept.","2021","Female","Department for Transport","200","190","35790","34140"
"Leaver Dept.","2021","Female","Department for Work and Pensions","820","780","29990","27570"
"Leaver Dept.","2021","Female","Department of Health and Social Care","120","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","ESTYN","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Foreign, Commonwealth and Development Office","180","50","49710","49590"
"Leaver Dept.","2021","Female","HM Revenue and Customs","910","870","[c]","[c]"
"Leaver Dept.","2021","Female","HM Treasury","70","70","[c]","[c]"
