"Status","Year","Sex","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Bedfordshire and Hertfordshire","2580","2360","31450","29290"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","4780","4420","31530","28550"
"In post","2021","Female","Cheshire","2190","2020","29990","27570"
"In post","2021","Female","Cornwall and Isles of Scilly","920","800","26230","26590"
"In post","2021","Female","Cumbria","1240","1070","26570","24920"
"In post","2021","Female","Derbyshire and Nottinghamshire","6920","6220","30140","27570"
"In post","2021","Female","Devon","4350","3800","29310","27130"
"In post","2021","Female","Dorset and Somerset","2500","2220","28350","27380"
"In post","2021","Female","East Anglia","6370","5720","28940","27140"
"In post","2021","Female","East Wales","10990","9960","31460","27570"
"In post","2021","Female","East Yorkshire and Northern Lincolnshire","2320","2020","26710","26670"
"In post","2021","Female","Eastern Scotland","10720","9830","33600","28130"
"In post","2021","Female","Essex","3220","2880","29620","29290"
"In post","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","13650","12540","33970","30680"
"In post","2021","Female","Greater Manchester","10750","9810","30180","27570"
"In post","2021","Female","Hampshire and Isle of Wight","7590","6770","30310","27570"
"In post","2021","Female","Herefordshire, Worcestershire and Warwickshire","2150","1940","27170","25370"
"In post","2021","Female","Highlands and Islands","1010","920","27920","27570"
"In post","2021","Female","Inner London - East","9640","9020","40260","33930"
"In post","2021","Female","Inner London - West","32310","30970","45810","40650"
"In post","2021","Female","Kent","4230","3840","28720","27370"
"In post","2021","Female","Lancashire","8270","7260","27680","27130"
"In post","2021","Female","Leicestershire, Rutland and Northamptonshire","3650","3210","26690","24900"
"In post","2021","Female","Lincolnshire","1450","1320","26730","25600"
"In post","2021","Female","Merseyside","11680","10260","27840","25310"
"In post","2021","Female","North Eastern Scotland","930","840","32400","27570"
"In post","2021","Female","North Yorkshire","2460","2270","33340","28590"
"In post","2021","Female","Northern Ireland","1760","1590","28400","25560"
"In post","2021","Female","Northumberland and Tyne and Wear","12670","10800","27240","25560"
"In post","2021","Female","Outer London - East and North East","2270","2060","29870","31060"
"In post","2021","Female","Outer London - South","6090","5620","35960","31060"
"In post","2021","Female","Outer London - West and North West","4950","4520","32730","31060"
"In post","2021","Female","Overseas","1500","1490","49160","46620"
"In post","2021","Female","Shropshire and Staffordshire","4540","4090","28900","27130"
"In post","2021","Female","South Yorkshire","5720","5010","30330","27570"
"In post","2021","Female","Southern Scotland","3500","3040","28710","26120"
"In post","2021","Female","Surrey, East and West Sussex","4700","4190","29770","27570"
"In post","2021","Female","Tees Valley and Durham","5370","4710","27150","25310"
"In post","2021","Female","Unknown","1200","1130","33020","29250"
"In post","2021","Female","West Central Scotland","9500","8460","29630","26550"
"In post","2021","Female","West Midlands","10820","9650","29870","27570"
"In post","2021","Female","West Wales and The Valleys","9680","8400","27380","23830"
"In post","2021","Female","West Yorkshire","9560","8550","30760","27570"
"In post","2021","Male","Bedfordshire and Hertfordshire","1960","1900","33820","30760"
"In post","2021","Male","Berkshire, Buckinghamshire and Oxfordshire","4810","4710","34270","31810"
"In post","2021","Male","Cheshire","1710","1670","32950","31650"
"In post","2021","Male","Cornwall and Isles of Scilly","730","700","27040","26670"
"In post","2021","Male","Cumbria","900","880","29940","26670"
"In post","2021","Male","Derbyshire and Nottinghamshire","5370","5170","32040","27570"
"In post","2021","Male","Devon","4670","4490","33130","30810"
"In post","2021","Male","Dorset and Somerset","2710","2620","30840","28220"
"In post","2021","Male","East Anglia","6090","5880","31370","28430"
"In post","2021","Male","East Wales","9370","9080","33800","28850"
"In post","2021","Male","East Yorkshire and Northern Lincolnshire","2380","2280","29010","27130"
"In post","2021","Male","Eastern Scotland","9120","8820","35140","31810"
"In post","2021","Male","Essex","2370","2260","32380","29290"
"In post","2021","Male","Gloucestershire, Wiltshire and Bath/Bristol area","15660","15290","38630","36010"
"In post","2021","Male","Greater Manchester","8960","8690","31880","27570"
"In post","2021","Male","Hampshire and Isle of Wight","7760","7390","33880","31070"
"In post","2021","Male","Herefordshire, Worcestershire and Warwickshire","1840","1790","29010","26930"
"In post","2021","Male","Highlands and Islands","940","910","29740","27570"
"In post","2021","Male","Inner London - East","7560","7360","44310","37660"
"In post","2021","Male","Inner London - West","28810","28490","48390","43170"
"In post","2021","Male","Kent","4300","4130","30530","29290"
"In post","2021","Male","Lancashire","5840","5560","29060","27570"
"In post","2021","Male","Leicestershire, Rutland and Northamptonshire","2600","2510","28430","27130"
"In post","2021","Male","Lincolnshire","1380","1340","29580","27570"
"In post","2021","Male","Merseyside","7800","7500","29930","26300"
"In post","2021","Male","North Eastern Scotland","940","910","39900","33650"
"In post","2021","Male","North Yorkshire","2270","2210","33670","29930"
"In post","2021","Male","Northern Ireland","2060","2000","27630","24890"
"In post","2021","Male","Northumberland and Tyne and Wear","8700","8320","29850","25860"
"In post","2021","Male","Outer London - East and North East","1520","1480","31820","31060"
"In post","2021","Male","Outer London - South","4660","4560","39570","35200"
"In post","2021","Male","Outer London - West and North West","4110","3890","33920","31060"
"In post","2021","Male","Overseas","2260","2250","50540","50430"
"In post","2021","Male","Shropshire and Staffordshire","3770","3640","31030","27570"
"In post","2021","Male","South Yorkshire","4210","4060","32810","27670"
"In post","2021","Male","Southern Scotland","2520","2400","30410","27570"
"In post","2021","Male","Surrey, East and West Sussex","3600","3420","31540","28350"
"In post","2021","Male","Tees Valley and Durham","3870","3660","28940","27150"
"In post","2021","Male","Unknown","2530","2510","36930","32700"
"In post","2021","Male","West Central Scotland","8420","8090","31770","27570"
"In post","2021","Male","West Midlands","7390","7160","32190","27570"
"In post","2021","Male","West Wales and The Valleys","6030","5800","30720","26780"
"In post","2021","Male","West Yorkshire","7690","7420","32190","27570"
"In post","2021","Unknown","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","Female","Bedfordshire and Hertfordshire","2700","2480","32800","29290"
"In post","2022","Female","Berkshire, Buckinghamshire and Oxfordshire","4900","4520","32100","28780"
"In post","2022","Female","Cheshire","2500","2300","30820","27570"
"In post","2022","Female","Cornwall and Isles of Scilly","980","860","27320","27570"
"In post","2022","Female","Cumbria","1340","1170","27370","24920"
"In post","2022","Female","Derbyshire and Nottinghamshire","7780","7030","31230","27570"
"In post","2022","Female","Devon","4520","3960","30210","27570"
"In post","2022","Female","Dorset and Somerset","2650","2370","29320","27570"
"In post","2022","Female","East Anglia","6630","5970","29250","27130"
"In post","2022","Female","East Wales","11290","10320","32850","28550"
"In post","2022","Female","East Yorkshire and Northern Lincolnshire","2540","2240","27590","27120"
"In post","2022","Female","Eastern Scotland","11410","10530","35070","30040"
"In post","2022","Female","Essex","3150","2820","30510","29290"
"In post","2022","Female","Gloucestershire, Wiltshire and Bath/Bristol area","14190","13070","34410","31600"
"In post","2022","Female","Greater Manchester","11630","10690","31210","27570"
"In post","2022","Female","Hampshire and Isle of Wight","7790","6950","31410","27570"
"In post","2022","Female","Herefordshire, Worcestershire and Warwickshire","2340","2120","28470","26390"
"In post","2022","Female","Highlands and Islands","1040","950","29240","27570"
"In post","2022","Female","Inner London - East","10360","9750","40580","34610"
"In post","2022","Female","Inner London - West","32680","31370","46430","41950"
"In post","2022","Female","Kent","4400","4010","29240","27380"
"In post","2022","Female","Lancashire","8650","7640","28500","27570"
"In post","2022","Female","Leicestershire, Rutland and Northamptonshire","3700","3280","27470","25220"
"In post","2022","Female","Lincolnshire","1570","1440","27690","26310"
"In post","2022","Female","Merseyside","12800","11440","28760","26370"
"In post","2022","Female","North Eastern Scotland","970","880","32990","27940"
"In post","2022","Female","North Yorkshire","2410","2220","32510","28200"
"In post","2022","Female","Northern Ireland","1980","1820","30030","26820"
"In post","2022","Female","Northumberland, and Tyne and Wear","13490","11690","28660","26590"
"In post","2022","Female","Outer London - East and North East","2440","2220","30650","31060"
"In post","2022","Female","Outer London - South","6700","6230","37250","32550"
"In post","2022","Female","Outer London - West and North West","4990","4570","33350","31060"
"In post","2022","Female","Overseas","1510","1500","48980","46600"
"In post","2022","Female","Shropshire and Staffordshire","4930","4490","30070","27570"
"In post","2022","Female","South Yorkshire","6040","5330","31100","27570"
"In post","2022","Female","Southern Scotland","3660","3220","29600","26900"
"In post","2022","Female","Surrey, East and West Sussex","5030","4500","30830","27570"
"In post","2022","Female","Tees Valley and Durham","5840","5190","28370","26330"
"In post","2022","Female","Unknown","1030","970","33060","30150"
"In post","2022","Female","West Central Scotland","10610","9600","31130","27570"
"In post","2022","Female","West Midlands","11900","10730","30430","27570"
"In post","2022","Female","West Wales and The Valleys","10430","9140","27980","26130"
"In post","2022","Female","West Yorkshire","10600","9590","32050","27570"
"In post","2022","Male","Bedfordshire and Hertfordshire","2000","1950","34570","30750"
"In post","2022","Male","Berkshire, Buckinghamshire and Oxfordshire","4640","4520","35110","32120"
"In post","2022","Male","Cheshire","1890","1830","33510","31650"
"In post","2022","Male","Cornwall and Isles of Scilly","790","760","28360","26670"
"In post","2022","Male","Cumbria","980","950","30720","26890"
"In post","2022","Male","Derbyshire and Nottinghamshire","5930","5730","32890","28550"
"In post","2022","Male","Devon","4790","4600","33810","31110"
"In post","2022","Male","Dorset and Somerset","2820","2720","31620","28700"
"In post","2022","Male","East Anglia","6290","6060","31890","29200"
"In post","2022","Male","East Wales","9560","9280","35160","30710"
"In post","2022","Male","East Yorkshire and Northern Lincolnshire","2410","2300","29440","27130"
"In post","2022","Male","Eastern Scotland","9590","9280","36390","32950"
"In post","2022","Male","Essex","2170","2070","32350","29290"
"In post","2022","Male","Gloucestershire, Wiltshire and Bath/Bristol area","15970","15610","38830","36300"
"In post","2022","Male","Greater Manchester","9970","9690","33330","28920"
"In post","2022","Male","Hampshire and Isle of Wight","7770","7410","34740","31650"
"In post","2022","Male","Herefordshire, Worcestershire and Warwickshire","1860","1790","29960","27380"
"In post","2022","Male","Highlands and Islands","970","930","30760","27570"
"In post","2022","Male","Inner London - East","8690","8500","44400","37930"
"In post","2022","Male","Inner London - West","28090","27770","49110","44500"
"In post","2022","Male","Kent","4360","4190","30780","29260"
"In post","2022","Male","Lancashire","6130","5850","30290","27570"
"In post","2022","Male","Leicestershire, Rutland and Northamptonshire","2570","2490","29340","27380"
"In post","2022","Male","Lincolnshire","1440","1390","30160","27570"
"In post","2022","Male","Merseyside","8420","8140","30800","27060"
"In post","2022","Male","North Eastern Scotland","960","930","40580","35000"
"In post","2022","Male","North Yorkshire","2250","2190","33270","29740"
"In post","2022","Male","Northern Ireland","2280","2230","29290","26590"
"In post","2022","Male","Northumberland, and Tyne and Wear","9760","9380","31960","27570"
"In post","2022","Male","Outer London - East and North East","1630","1580","32680","31060"
"In post","2022","Male","Outer London - South","5120","5010","41060","37460"
"In post","2022","Male","Outer London - West and North West","4140","3960","34320","31060"
"In post","2022","Male","Overseas","2180","2170","49750","49370"
"In post","2022","Male","Shropshire and Staffordshire","3980","3830","32350","28040"
"In post","2022","Male","South Yorkshire","4440","4280","33690","29520"
"In post","2022","Male","Southern Scotland","2580","2470","31190","27570"
"In post","2022","Male","Surrey, East and West Sussex","3740","3550","32570","28920"
"In post","2022","Male","Tees Valley and Durham","4020","3800","29860","27570"
"In post","2022","Male","Unknown","2280","2270","37250","32900"
"In post","2022","Male","West Central Scotland","9240","8890","32920","28810"
"In post","2022","Male","West Midlands","8170","7910","32770","27570"
"In post","2022","Male","West Wales and The Valleys","6620","6360","31050","27570"
"In post","2022","Male","West Yorkshire","8550","8260","33480","28200"
"In post","2022","Unknown","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Lancashire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Bedfordshire and Hertfordshire","250","210","26440","24570"
"Leaver CS","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","330","290","29980","24540"
"Leaver CS","2021","Female","Cheshire","110","100","25690","21010"
"Leaver CS","2021","Female","Cornwall and Isles of Scilly","50","40","[c]","[c]"
"Leaver CS","2021","Female","Cumbria","50","40","[c]","[c]"
"Leaver CS","2021","Female","Derbyshire and Nottinghamshire","350","290","26060","21640"
"Leaver CS","2021","Female","Devon","270","230","25870","21100"
"Leaver CS","2021","Female","Dorset and Somerset","150","130","26090","25190"
"Leaver CS","2021","Female","East Anglia","510","440","28020","24920"
"Leaver CS","2021","Female","East Wales","620","510","30780","24500"
"Leaver CS","2021","Female","East Yorkshire and Northern Lincolnshire","230","190","25670","24620"
"Leaver CS","2021","Female","Eastern Scotland","580","490","32590","26890"
"Leaver CS","2021","Female","Essex","200","170","28390","25260"
"Leaver CS","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","640","570","31070","27130"
"Leaver CS","2021","Female","Greater Manchester","530","460","29400","25100"
"Leaver CS","2021","Female","Hampshire and Isle of Wight","390","330","27170","23540"
"Leaver CS","2021","Female","Herefordshire, Worcestershire and Warwickshire","140","120","23910","21270"
"Leaver CS","2021","Female","Highlands and Islands","40","40","[c]","[c]"
"Leaver CS","2021","Female","Inner London - East","500","450","39220","32200"
"Leaver CS","2021","Female","Inner London - West","1550","1360","42240","35000"
"Leaver CS","2021","Female","Kent","300","250","26420","24900"
"Leaver CS","2021","Female","Lancashire","390","320","25360","21010"
"Leaver CS","2021","Female","Leicestershire, Rutland and Northamptonshire","390","330","25290","21010"
"Leaver CS","2021","Female","Lincolnshire","140","120","27750","26500"
"Leaver CS","2021","Female","Merseyside","460","360","27040","23470"
"Leaver CS","2021","Female","North Eastern Scotland","70","60","[c]","[c]"
"Leaver CS","2021","Female","North Yorkshire","140","120","31640","26220"
"Leaver CS","2021","Female","Northern Ireland","110","90","[c]","[c]"
"Leaver CS","2021","Female","Northumberland and Tyne and Wear","640","490","25990","21010"
"Leaver CS","2021","Female","Outer London - East and North East","130","120","28710","30330"
"Leaver CS","2021","Female","Outer London - South","230","200","32800","28810"
"Leaver CS","2021","Female","Outer London - West and North West","310","270","31930","31060"
"Leaver CS","2021","Female","Overseas","70","60","38340","36960"
"Leaver CS","2021","Female","Shropshire and Staffordshire","260","220","26880","23180"
"Leaver CS","2021","Female","South Yorkshire","380","300","27790","24890"
"Leaver CS","2021","Female","Southern Scotland","140","110","29240","26550"
"Leaver CS","2021","Female","Surrey, East and West Sussex","290","250","29370","24510"
"Leaver CS","2021","Female","Tees Valley and Durham","360","290","25590","21430"
"Leaver CS","2021","Female","Unknown","330","320","38110","28000"
"Leaver CS","2021","Female","West Central Scotland","370","310","28780","24110"
"Leaver CS","2021","Female","West Midlands","680","560","30690","26000"
"Leaver CS","2021","Female","West Wales and The Valleys","410","320","24950","21590"
"Leaver CS","2021","Female","West Yorkshire","550","440","28290","26120"
"Leaver CS","2021","Male","Bedfordshire and Hertfordshire","210","190","32030","26970"
"Leaver CS","2021","Male","Berkshire, Buckinghamshire and Oxfordshire","390","360","33350","29930"
"Leaver CS","2021","Male","Cheshire","80","80","[c]","[c]"
"Leaver CS","2021","Male","Cornwall and Isles of Scilly","50","40","[c]","[c]"
"Leaver CS","2021","Male","Cumbria","70","60","26410","21050"
"Leaver CS","2021","Male","Derbyshire and Nottinghamshire","280","260","28700","25500"
"Leaver CS","2021","Male","Devon","340","310","27100","24230"
"Leaver CS","2021","Male","Dorset and Somerset","200","190","31700","29280"
"Leaver CS","2021","Male","East Anglia","480","440","33860","27570"
"Leaver CS","2021","Male","East Wales","560","520","34310","28850"
"Leaver CS","2021","Male","East Yorkshire and Northern Lincolnshire","220","200","30000","26930"
"Leaver CS","2021","Male","Eastern Scotland","540","500","35900","32430"
"Leaver CS","2021","Male","Essex","140","130","30550","27320"
"Leaver CS","2021","Male","Gloucestershire, Wiltshire and Bath/Bristol area","770","720","37390","33300"
"Leaver CS","2021","Male","Greater Manchester","430","390","30940","26780"
"Leaver CS","2021","Male","Hampshire and Isle of Wight","480","430","31750","28530"
"Leaver CS","2021","Male","Herefordshire, Worcestershire and Warwickshire","130","120","25550","24730"
"Leaver CS","2021","Male","Highlands and Islands","60","50","28430","26530"
"Leaver CS","2021","Male","Inner London - East","450","430","43280","34270"
"Leaver CS","2021","Male","Inner London - West","1520","1370","45970","39250"
"Leaver CS","2021","Male","Kent","260","240","27150","26210"
"Leaver CS","2021","Male","Lancashire","330","290","27590","21090"
"Leaver CS","2021","Male","Leicestershire, Rutland and Northamptonshire","250","230","27090","26890"
"Leaver CS","2021","Male","Lincolnshire","190","170","29650","29930"
"Leaver CS","2021","Male","Merseyside","310","270","28530","24980"
"Leaver CS","2021","Male","North Eastern Scotland","90","80","38380","31400"
"Leaver CS","2021","Male","North Yorkshire","120","110","36310","32430"
"Leaver CS","2021","Male","Northern Ireland","90","80","[c]","[c]"
"Leaver CS","2021","Male","Northumberland and Tyne and Wear","430","380","27050","21010"
"Leaver CS","2021","Male","Outer London - East and North East","100","90","[c]","[c]"
"Leaver CS","2021","Male","Outer London - South","210","190","37780","31060"
"Leaver CS","2021","Male","Outer London - West and North West","250","220","34520","31060"
"Leaver CS","2021","Male","Overseas","70","50","[c]","[c]"
"Leaver CS","2021","Male","Shropshire and Staffordshire","250","230","29050","27130"
"Leaver CS","2021","Male","South Yorkshire","260","240","30780","25500"
"Leaver CS","2021","Male","Southern Scotland","120","110","30300","27570"
