"Status","Year","Sexual_orientation","Function_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Analysis","Female","2180","2040","43150","38630"
"In post","2021","Heterosexual / straight","Analysis","Male","2460","2420","44820","39950"
"In post","2021","Heterosexual / straight","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Female","2210","2100","39780","35610"
"In post","2021","Heterosexual / straight","Commercial","Male","1990","1970","45070","40500"
"In post","2021","Heterosexual / straight","Communications","Female","2600","2450","36340","31810"
"In post","2021","Heterosexual / straight","Communications","Male","2170","2140","34370","31810"
"In post","2021","Heterosexual / straight","Counter Fraud","Female","2800","2560","33020","31810"
"In post","2021","Heterosexual / straight","Counter Fraud","Male","3050","2960","35690","31810"
"In post","2021","Heterosexual / straight","Debt","Female","1280","1090","24070","21440"
"In post","2021","Heterosexual / straight","Debt","Male","880","840","23970","20640"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Female","3060","2900","40610","37100"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Male","4860","4790","43010","38630"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Female","3650","3380","37690","33300"
"In post","2021","Heterosexual / straight","Finance","Male","2780","2740","43480","39000"
"In post","2021","Heterosexual / straight","Grants Management","Female","470","400","26080","25100"
"In post","2021","Heterosexual / straight","Grants Management","Male","320","310","27430","25360"
"In post","2021","Heterosexual / straight","Human Resources","Female","5140","4800","37840","33300"
"In post","2021","Heterosexual / straight","Human Resources","Male","1970","1930","39010","34240"
"In post","2021","Heterosexual / straight","Internal Audit","Female","300","280","43600","41550"
"In post","2021","Heterosexual / straight","Internal Audit","Male","290","280","49060","47170"
"In post","2021","Heterosexual / straight","Legal","Female","5900","5380","44210","43530"
"In post","2021","Heterosexual / straight","Legal","Male","2940","2850","47900","49710"
"In post","2021","Heterosexual / straight","No function","Female","64560","58750","32120","27960"
"In post","2021","Heterosexual / straight","No function","Male","52350","50590","35030","31650"
"In post","2021","Heterosexual / straight","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Female","9080","8600","39990","36500"
"In post","2021","Heterosexual / straight","Project Delivery","Male","11170","10980","42150","39800"
"In post","2021","Heterosexual / straight","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","Female","2540","2360","33380","31100"
"In post","2021","Heterosexual / straight","Property","Male","3360","3270","37270","33300"
"In post","2021","Heterosexual / straight","Security","Female","1370","1320","32050","29250"
"In post","2021","Heterosexual / straight","Security","Male","4650","4570","30760","26670"
"In post","2021","Heterosexual / straight","Unknown","Female","68860","61490","30050","27570"
"In post","2021","Heterosexual / straight","Unknown","Male","45730","44200","32040","27570"
"In post","2021","LGBO","Analysis","Female","200","200","39780","36160"
"In post","2021","LGBO","Analysis","Male","220","220","42670","37020"
"In post","2021","LGBO","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Commercial","Female","80","80","36860","33000"
"In post","2021","LGBO","Commercial","Male","110","110","40570","36450"
"In post","2021","LGBO","Communications","Female","140","130","34300","31810"
"In post","2021","LGBO","Communications","Male","230","230","37080","32230"
"In post","2021","LGBO","Counter Fraud","Female","150","140","33560","29570"
"In post","2021","LGBO","Counter Fraud","Male","160","160","34910","31810"
"In post","2021","LGBO","Debt","Female","60","60","23230","20140"
"In post","2021","LGBO","Debt","Male","90","80","23140","20140"
"In post","2021","LGBO","Digital, Data & Technology","Female","230","220","39360","36530"
"In post","2021","LGBO","Digital, Data & Technology","Male","290","290","43790","38650"
"In post","2021","LGBO","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","Female","110","100","38550","33050"
"In post","2021","LGBO","Finance","Male","140","140","42860","38600"
"In post","2021","LGBO","Grants Management","Female","40","30","[c]","[c]"
"In post","2021","LGBO","Grants Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","Female","200","190","37560","32150"
"In post","2021","LGBO","Human Resources","Male","250","250","41500","38350"
"In post","2021","LGBO","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Legal","Female","220","210","41720","33460"
"In post","2021","LGBO","Legal","Male","350","340","49360","51250"
"In post","2021","LGBO","No function","Female","4200","4070","32230","29180"
"In post","2021","LGBO","No function","Male","3750","3660","36300","31810"
"In post","2021","LGBO","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Project Delivery","Female","390","380","39150","35290"
"In post","2021","LGBO","Project Delivery","Male","550","540","43410","38850"
"In post","2021","LGBO","Property","Female","100","90","32260","29560"
"In post","2021","LGBO","Property","Male","130","130","36720","33000"
"In post","2021","LGBO","Security","Female","120","120","31240","27990"
"In post","2021","LGBO","Security","Male","150","150","33690","31920"
"In post","2021","LGBO","Unknown","Female","2790","2650","30170","27570"
"In post","2021","LGBO","Unknown","Male","3320","3240","31490","27570"
"In post","2021","Undeclared","Analysis","Female","200","180","42510","37750"
"In post","2021","Undeclared","Analysis","Male","300","290","46260","41950"
"In post","2021","Undeclared","Commercial","Female","280","260","36570","33350"
"In post","2021","Undeclared","Commercial","Male","290","290","43670","39840"
"In post","2021","Undeclared","Communications","Female","260","240","35220","31810"
"In post","2021","Undeclared","Communications","Male","240","230","32750","30700"
"In post","2021","Undeclared","Counter Fraud","Female","400","350","33440","31810"
"In post","2021","Undeclared","Counter Fraud","Male","540","520","37170","32100"
"In post","2021","Undeclared","Debt","Female","200","160","23770","21440"
"In post","2021","Undeclared","Debt","Male","120","120","24640","21440"
"In post","2021","Undeclared","Digital, Data & Technology","Female","440","420","40150","37170"
"In post","2021","Undeclared","Digital, Data & Technology","Male","790","770","41410","38630"
"In post","2021","Undeclared","Finance","Female","500","450","36470","32790"
"In post","2021","Undeclared","Finance","Male","370","360","42660","39800"
"In post","2021","Undeclared","Grants Management","Female","30","30","[c]","[c]"
"In post","2021","Undeclared","Grants Management","Male","30","30","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Female","450","410","35230","31810"
"In post","2021","Undeclared","Human Resources","Male","230","230","37110","32960"
"In post","2021","Undeclared","Internal Audit","Female","50","50","45450","41760"
"In post","2021","Undeclared","Internal Audit","Male","30","30","[c]","[c]"
"In post","2021","Undeclared","Legal","Female","1610","1430","33640","29350"
"In post","2021","Undeclared","Legal","Male","780","740","36300","29350"
"In post","2021","Undeclared","No function","Female","8380","7410","31240","27130"
"In post","2021","Undeclared","No function","Male","7520","7160","35240","31650"
"In post","2021","Undeclared","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Project Delivery","Female","1090","1030","39460","35290"
"In post","2021","Undeclared","Project Delivery","Male","1830","1770","42040","40000"
"In post","2021","Undeclared","Property","Female","350","320","34120","33140"
"In post","2021","Undeclared","Property","Male","520","500","38110","34770"
"In post","2021","Undeclared","Security","Female","190","180","33180","33300"
"In post","2021","Undeclared","Security","Male","770","750","35240","39070"
"In post","2021","Undeclared","Unknown","Female","8360","7340","29670","27570"
"In post","2021","Undeclared","Unknown","Male","6550","6270","32390","27570"
"In post","2021","Unknown","Analysis","Female","680","640","39480","36160"
"In post","2021","Unknown","Analysis","Male","940","920","42170","37320"
"In post","2021","Unknown","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Commercial","Female","960","930","53100","49700"
"In post","2021","Unknown","Commercial","Male","1060","1050","59090","54540"
"In post","2021","Unknown","Communications","Female","1300","1230","34130","29540"
"In post","2021","Unknown","Communications","Male","1270","1260","32710","25560"
"In post","2021","Unknown","Counter Fraud","Female","1170","1070","30340","28130"
"In post","2021","Unknown","Counter Fraud","Male","1340","1300","33010","31810"
"In post","2021","Unknown","Debt","Female","1110","980","22360","20140"
"In post","2021","Unknown","Debt","Male","930","900","22410","20140"
"In post","2021","Unknown","Digital, Data & Technology","Female","1270","1200","39870","37930"
"In post","2021","Unknown","Digital, Data & Technology","Male","2650","2610","40970","38630"
"In post","2021","Unknown","Finance","Female","1030","930","33790","29920"
"In post","2021","Unknown","Finance","Male","820","800","37300","32790"
"In post","2021","Unknown","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Grants Management","Female","560","490","24160","21050"
"In post","2021","Unknown","Grants Management","Male","420","420","25090","21050"
"In post","2021","Unknown","Human Resources","Female","900","830","34540","31190"
"In post","2021","Unknown","Human Resources","Male","450","440","34580","31810"
"In post","2021","Unknown","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","Male","30","30","[c]","[c]"
"In post","2021","Unknown","Legal","Female","1980","1750","45550","48830"
"In post","2021","Unknown","Legal","Male","1070","1040","49210","52640"
"In post","2021","Unknown","No function","Female","22210","19990","29890","25790"
"In post","2021","Unknown","No function","Male","21960","20960","32200","29320"
"In post","2021","Unknown","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Project Delivery","Female","2060","1940","40930","38600"
"In post","2021","Unknown","Project Delivery","Male","2230","2190","42360","38910"
"In post","2021","Unknown","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Property","Female","900","810","28840","25930"
"In post","2021","Unknown","Property","Male","1430","1390","31940","28870"
"In post","2021","Unknown","Security","Female","380","360","31710","27700"
"In post","2021","Unknown","Security","Male","1140","1130","31560","28890"
"In post","2021","Unknown","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Female","18360","15580","28830","27570"
"In post","2021","Unknown","Unknown","Male","12740","12270","32240","27570"
"In post","2022","Heterosexual / straight","Analysis","Female","2680","2510","43750","38720"
"In post","2022","Heterosexual / straight","Analysis","Male","2800","2750","45330","40050"
"In post","2022","Heterosexual / straight","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Commercial","Female","2060","1960","40660","37400"
"In post","2022","Heterosexual / straight","Commercial","Male","1800","1780","45150","40180"
"In post","2022","Heterosexual / straight","Communications","Female","2910","2750","37410","33370"
"In post","2022","Heterosexual / straight","Communications","Male","2230","2200","36020","33080"
"In post","2022","Heterosexual / straight","Counter Fraud","Female","5760","5170","31430","27570"
"In post","2022","Heterosexual / straight","Counter Fraud","Male","4960","4770","34440","31990"
"In post","2022","Heterosexual / straight","Debt","Female","2570","2160","23880","21260"
"In post","2022","Heterosexual / straight","Debt","Male","1440","1370","24040","21260"
"In post","2022","Heterosexual / straight","Digital, Data & Technology","Female","5690","5400","40010","36770"
"In post","2022","Heterosexual / straight","Digital, Data & Technology","Male","9090","8950","42530","39650"
"In post","2022","Heterosexual / straight","Finance","Female","4820","4480","38090","34260"
"In post","2022","Heterosexual / straight","Finance","Male","3720","3650","42440","38540"
"In post","2022","Heterosexual / straight","Grants Management","Female","610","530","25640","24920"
"In post","2022","Heterosexual / straight","Grants Management","Male","420","410","26920","24920"
"In post","2022","Heterosexual / straight","Human Resources","Female","6320","5900","37980","33370"
"In post","2022","Heterosexual / straight","Human Resources","Male","2500","2450","38930","34260"
"In post","2022","Heterosexual / straight","Internal Audit","Female","320","300","43980","42230"
"In post","2022","Heterosexual / straight","Internal Audit","Male","280","270","48820","47150"
"In post","2022","Heterosexual / straight","Legal","Female","5710","5250","45020","48080"
"In post","2022","Heterosexual / straight","Legal","Male","2820","2750","48540","50500"
"In post","2022","Heterosexual / straight","No function","Female","106420","96030","31180","27570"
"In post","2022","Heterosexual / straight","No function","Male","72120","69650","33830","29290"
"In post","2022","Heterosexual / straight","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Project Delivery","Female","8370","7850","41200","38070"
"In post","2022","Heterosexual / straight","Project Delivery","Male","10540","10340","42860","40520"
"In post","2022","Heterosexual / straight","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Property","Female","2900","2720","35660","33000"
"In post","2022","Heterosexual / straight","Property","Male","3660","3570","39060","35060"
"In post","2022","Heterosexual / straight","Security","Female","1910","1830","33220","31390"
"In post","2022","Heterosexual / straight","Security","Male","5610","5500","32180","29250"
"In post","2022","Heterosexual / straight","Unknown","Female","30560","28190","34290","29430"
"In post","2022","Heterosexual / straight","Unknown","Male","25640","24960","35350","30410"
"In post","2022","LGBO","Analysis","Female","290","280","40140","37380"
"In post","2022","LGBO","Analysis","Male","270","270","42180","37930"
"In post","2022","LGBO","Commercial","Female","90","90","38610","34380"
"In post","2022","LGBO","Commercial","Male","120","120","41080","38580"
"In post","2022","LGBO","Communications","Female","190","190","36050","33080"
"In post","2022","LGBO","Communications","Male","270","260","36440","33370"
"In post","2022","LGBO","Counter Fraud","Female","300","280","32200","28920"
"In post","2022","LGBO","Counter Fraud","Male","310","300","32850","30750"
"In post","2022","LGBO","Debt","Female","120","120","23700","21260"
"In post","2022","LGBO","Debt","Male","170","170","23570","21260"
"In post","2022","LGBO","Digital, Data & Technology","Female","440","430","38820","35310"
"In post","2022","LGBO","Digital, Data & Technology","Male","570","560","41740","38250"
"In post","2022","LGBO","Finance","Female","190","190","37700","33370"
"In post","2022","LGBO","Finance","Male","230","220","41200","36660"
"In post","2022","LGBO","Grants Management","Female","40","40","[c]","[c]"
"In post","2022","LGBO","Grants Management","Male","40","40","[c]","[c]"
"In post","2022","LGBO","Human Resources","Female","290","280","36490","32560"
"In post","2022","LGBO","Human Resources","Male","350","350","40740","35310"
"In post","2022","LGBO","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Legal","Female","250","230","41490","33460"
"In post","2022","LGBO","Legal","Male","320","310","50410","51470"
"In post","2022","LGBO","No function","Female","6760","6500","31580","27570"
"In post","2022","LGBO","No function","Male","6000","5860","34210","28700"
"In post","2022","LGBO","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Project Delivery","Female","410","400","39550","35630"
"In post","2022","LGBO","Project Delivery","Male","550","550","43700","40050"
"In post","2022","LGBO","Property","Female","120","120","33850","31000"
"In post","2022","LGBO","Property","Male","160","160","39310","35300"
"In post","2022","LGBO","Security","Female","180","170","32560","30580"
"In post","2022","LGBO","Security","Male","190","190","34620","33330"
"In post","2022","LGBO","Unknown","Female","1320","1270","34530","30040"
"In post","2022","LGBO","Unknown","Male","1490","1460","37460","31990"
"In post","2022","Undeclared","Analysis","Female","310","290","43670","39250"
"In post","2022","Undeclared","Analysis","Male","350","340","47060","42580"
"In post","2022","Undeclared","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Commercial","Female","280","260","39670","38330"
"In post","2022","Undeclared","Commercial","Male","270","270","44800","40650"
"In post","2022","Undeclared","Communications","Female","340","330","39090","33370"
"In post","2022","Undeclared","Communications","Male","280","270","37880","33320"
"In post","2022","Undeclared","Counter Fraud","Female","780","680","31030","27570"
"In post","2022","Undeclared","Counter Fraud","Male","780","740","35600","33080"
"In post","2022","Undeclared","Debt","Female","310","250","23660","22080"
"In post","2022","Undeclared","Debt","Male","190","170","23990","21260"
"In post","2022","Undeclared","Digital, Data & Technology","Female","810","770","40320","37660"
"In post","2022","Undeclared","Digital, Data & Technology","Male","1520","1480","41370","38470"
"In post","2022","Undeclared","Finance","Female","690","630","36920","33300"
"In post","2022","Undeclared","Finance","Male","540","520","43180","40330"
"In post","2022","Undeclared","Grants Management","Female","40","40","[c]","[c]"
"In post","2022","Undeclared","Grants Management","Male","50","50","[c]","[c]"
"In post","2022","Undeclared","Human Resources","Female","510","480","34670","31020"
"In post","2022","Undeclared","Human Resources","Male","310","300","37030","33300"
"In post","2022","Undeclared","Internal Audit","Female","50","50","46080","41230"
"In post","2022","Undeclared","Internal Audit","Male","40","40","[c]","[c]"
"In post","2022","Undeclared","Legal","Female","390","350","47680","51250"
"In post","2022","Undeclared","Legal","Male","270","260","51230","52730"
"In post","2022","Undeclared","No function","Female","12670","11170","31220","27570"
"In post","2022","Undeclared","No function","Male","9880","9410","34380","30670"
"In post","2022","Undeclared","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","Female","920","850","40010","37860"
"In post","2022","Undeclared","Project Delivery","Male","1420","1370","44120","40920"
"In post","2022","Undeclared","Property","Female","350","320","36870","33300"
"In post","2022","Undeclared","Property","Male","480","470","39060","35920"
"In post","2022","Undeclared","Security","Female","250","240","34740","33300"
"In post","2022","Undeclared","Security","Male","860","830","36340","39070"
"In post","2022","Undeclared","Unknown","Female","3600","3300","34020","29080"
"In post","2022","Undeclared","Unknown","Male","3730","3590","35790","30980"
"In post","2022","Unknown","Analysis","Female","690","650","38300","36580"
"In post","2022","Unknown","Analysis","Male","1060","1030","42230","38070"
"In post","2022","Unknown","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Commercial","Female","980","940","55260","53360"
"In post","2022","Unknown","Commercial","Male","1020","1010","62070","61520"
"In post","2022","Unknown","Communications","Female","1130","1070","34520","30020"
"In post","2022","Unknown","Communications","Male","1200","1190","32850","26820"
"In post","2022","Unknown","Counter Fraud","Female","2150","1900","30350","27570"
"In post","2022","Unknown","Counter Fraud","Male","1980","1900","32680","31020"
"In post","2022","Unknown","Debt","Female","1170","1000","23290","21260"
"In post","2022","Unknown","Debt","Male","850","810","23860","21250"
"In post","2022","Unknown","Digital, Data & Technology","Female","1310","1250","40720","36860"
"In post","2022","Unknown","Digital, Data & Technology","Male","2630","2590","41690","38000"
"In post","2022","Unknown","Finance","Female","1170","1050","35050","31990"
"In post","2022","Unknown","Finance","Male","1020","990","38350","35310"
"In post","2022","Unknown","Grants Management","Female","660","580","24130","21300"
"In post","2022","Unknown","Grants Management","Male","460","450","24530","21300"
"In post","2022","Unknown","Human Resources","Female","960","890","34760","30800"
"In post","2022","Unknown","Human Resources","Male","480","470","35610","32480"
"In post","2022","Unknown","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Legal","Female","1730","1520","46810","51250"
"In post","2022","Unknown","Legal","Male","920","890","50310","54700"
"In post","2022","Unknown","No function","Female","33830","29800","29140","27130"
"In post","2022","Unknown","No function","Male","26870","25620","31870","28000"
"In post","2022","Unknown","Project Delivery","Female","2140","1990","41090","38600"
"In post","2022","Unknown","Project Delivery","Male","2200","2150","43290","40440"
"In post","2022","Unknown","Property","Female","770","710","30420","26880"
"In post","2022","Unknown","Property","Male","1110","1080","35000","31050"
"In post","2022","Unknown","Security","Female","420","410","32520","29230"
"In post","2022","Unknown","Security","Male","1280","1260","32870","29980"
"In post","2022","Unknown","Unknown","Female","6030","5710","34700","28980"
"In post","2022","Unknown","Unknown","Male","7280","7120","35940","31540"
"Leaver CS","2021","Heterosexual / straight","Analysis","Female","70","60","34850","29180"
"Leaver CS","2021","Heterosexual / straight","Analysis","Male","70","70","40950","34870"
"Leaver CS","2021","Heterosexual / straight","Commercial","Female","70","60","39680","34440"
"Leaver CS","2021","Heterosexual / straight","Commercial","Male","80","70","44120","40020"
